1282	Muiriel is 20 now.	485968	म्यूरियल अब बीस साल की हो गई है।
1282	Muiriel is 20 now.	2060319	म्यूरियल अब बीस साल की है।
1294	Education in this world disappoints me.	485564	मैं इस दुनिया में शिक्षा पर बहुत निराश हूँ।
1302	That won't happen.	2060320	वैसा नहीं होगा।
1308	I miss you.	2060321	मुझें तुम्हारी याद आ रही है।
1308	I miss you.	2060322	मुझें आपकी याद आ रही है।
1311	You should sleep.	2060324	तुम्हें सोना चाहिए।
1311	You should sleep.	2060325	आपको सोना चाहिए।
1317	I never liked biology.	485982	मुझे जीव विज्ञान कभी भी पसंद नहीं था।
1323	No I'm not; you are!	485806	मैं नहीं हूँ, तुम हो!
1324	That's MY line!	590040	वह तो मेरी लाईन है!
1326	Are you sure?	2060327	पक्का?
1329	Hurry up.	2060328	जल्दी करो!
1330	It doesn't surprise me.	2060329	इससे मुझें आश्चर्य नहीं होता।
1330	It doesn't surprise me.	2060330	इससे मुझें ताज्जुब नहीं होता।
1332	For some reason I feel more alive at night.	505355	पता नहीं क्यों मुझे रात में ज़्यादा ज़िन्दा महसूस होता है।
1339	I'm so fat.	2060331	मैं कितना मोटा हूं।
1339	I'm so fat.	2060332	मैं कितनी मोटी हूं।
1348	That's because you're a girl.	505436	इसलिए क्योंकि तुम लड़की हो।
1386	I didn't like it.	2060335	मुझे अच्छा नहीं लगा।
1386	I didn't like it.	2060336	मुझे पसंद नहीं आया।
1391	You can do it.	3643449	तुम कर सकते हो।
1391	You can do it.	3643450	तुम कर सकती हो।
1402	That wasn't my intention.	2060337	मेरा वह इरादा नहीं था।
1423	It seems interesting to me.	514023	मुझे बहुत मज़ेदार लगती है!
1423	It seems interesting to me.	514025	मुझे बहुत दिलचस्प लगती है!
1426	What did you answer?	484124	तुमने क्या जवाब दिया?
1426	What did you answer?	3643457	तुम ने क्या जवाब दिया?
1426	What did you answer?	3643458	आप ने क्या जवाब दिया?
1431	Where is the problem?	485557	मुश्किल क्या है?
1431	Where is the problem?	485558	मुश्किल कहाँ है?
1434	I love you.	475911	मैं तुमसे प्यार करती हूँ।
1434	I love you.	475912	मैं तुमसे प्यार करता हूँ।
1434	I love you.	475913	मैं आपसे प्यार करता हूँ।
1434	I love you.	475914	मैं आपसे प्यार करती हूँ।
1434	I love you.	3223740	मुझे तुमसे प्यार है।
1446	I didn't want this to happen.	561263	मैं नहीं चाहता था कि ऐसा हो।
1478	Bearing can be unbearable.	498606	बर्दाश्त की भी हद होती है।
1481	Tomorrow, he will land on the moon.	483032	कल वह चाँद पर उतरेगा।
1506	"When will you be back?" "It all depends on the weather."	475863	"कब वापस आओगे?" "यह तो मौसम देख कर पता चलेगा।"
1507	"What's the matter?" asked the little white rabbit.	491738	"क्या बात है?" छोटे सफ़ेद खरगोश ने पूछा।
1530	Allen is a poet.	455250	ऐलन कवि है।
1530	Allen is a poet.	3644061	अॅलेन कवी है।
1550	Democracy is the worst form of government, except all the others that have been tried.	480226	लोकतंत्र सरकार का सबसे घिनौना रूप है, अगर बाकी सारी तरह की सरकारों को अंदेखा किया जाए तो।
1555	When I left the train station, I saw a man.	494185	मैंने ट्रेन स्टेशन से निकलने के समय एक आदमी को देखा।
1561	Did you miss me?	475999	मेरी याद आई क्या?
1564	Thank you very much!	463389	आपका बहुत बहुत धन्यवाद!
1564	Thank you very much!	487250	आपका बहुत बहुत शुक्रिया!
1566	I'll take him.	482447	मैं उसे लेलूँगा।
1578	They say love is blind.	3644065	कहते हैं कि प्यार अंधा होता है।
1597	It's impossible for me to explain it to you.	480252	मुझे तुमको यह बात समझाना नामुमकिन है।
1618	It is already eleven.	485565	ग्यारह बज चुके हैं।
1625	I have a bone to pick with you.	487269	मैं तुमसे खुश नहीं हूँ।
1639	The world is a den of crazies.	516658	दुनिया पागलों से भरी हुई है।
1646	My name is Jack.	516787	मेरा नाम जैक है।
1654	Would you like to dance with me?	487270	मेरे साथ नाचना चाहोगी क्या?
1654	Would you like to dance with me?	487271	मेरे साथ डान्स करना चाहती हो क्या?
1658	Italy is a very beautiful country.	3669377	इटली एक बहुत सुंदर देश है।
1664	Open your mouth!	516668	अपना मूँह खोलो!
1690	Nobody came.	495935	कोई नहीं आया।
1712	I have a headache.	588567	मेरे सिर में दर्द हो रहा है।
1712	I have a headache.	588569	मुझे सिरदर्द हो रहा है।
1719	It's too expensive!	484092	बहुत महंगा है!
1719	It's too expensive!	484093	बहुत महंगी है!
1726	You should have listened to me.	516696	तुम्हें मेरी बात सुन लेनी चाहिए थी।
1754	I'm starving!	516779	मैं भूख से मरा जा रहा हूँ।
